Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
4,80,0.15,0.06,0.078,0.033,0.225,0.034,0.5,9,1.5,12.738
2,40,0.15,0.1,0.026,0.033,0.075,0.0068,0.1,15,0.75,5.527
4,80,0.15,0.2,0.026,0.33,0.075,0.0204,0.3,9,1.5,19.079
1.2,40,0.15,0.1,0.026,0.099,0.075,0.034,0.5,3,0.75,9.743
4,80,1.5,0.06,0.13,0.033,0.075,0.068,0.1,9,1.5,27.388
2,40,0.15,0.06,0.078,0.165,0.075,0.034,0.1,15,0.75,6.65
1.2,40,0.15,0.06,0.026,0.033,0.075,0.0204,0.3,15,0.45,9.576
1.2,40,0.15,0.02,0.026,0.165,0.075,0.0068,0.3,15,0.75,11.409
2,40,0.15,0.02,0.078,0.099,0.075,0.0204,0.1,15,0.75,5.624
4,80,1.5,0.2,0.13,0.33,0.75,0.068,1,30,1.5,0.257
0.4,8,0.15,0.1,0.026,0.165,0.375,0.0204,0.1,9,0.45,2.418
4,80,0.45,0.02,0.13,0.165,0.075,0.0204,0.1,9,1.5,20.144
2,40,0.45,0.02,0.026,0.165,0.225,0.0204,0.3,15,0.75,11.356
4,80,0.45,0.02,0.026,0.033,0.075,0.034,1,9,1.5,1.614
1.2,40,0.45,0.06,0.026,0.033,0.075,0.034,0.1,3,0.75,10.791
4,80,1.5,0.02,0.026,0.165,0.375,0.068,0.1,9,1.5,24.18
2,40,0.45,0.06,0.026,0.099,0.075,0.0204,0.3,15,0.45,4.503
0.4,40,0.45,0.1,0.078,0.099,0.375,0.0068,0.3,3,0.15,1.776
1.2,40,0.45,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,12.481
2,8,0.45,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,6.41
4,80,1.5,0.02,0.026,0.165,0.225,0.0204,0.1,9,1.5,27.312
4,80,0.45,0.1,0.026,0.033,0.075,0.034,0.1,9,1.5,20.123
4,80,0.75,0.2,0.078,0.033,0.225,0.034,0.1,9,1.5,26.159
2,40,0.15,0.02,0.026,0.033,0.075,0.0204,0.1,15,0.15,6.124
2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.1,9,0.75,12.797
4,80,1.5,0.2,0.026,0.033,0.075,0.068,0.1,9,1.5,26.669
4,80,1.5,0.1,0.26,0.165,0.225,0.034,0.1,9,1.5,20.056
4,80,1.5,0.06,0.13,0.033,0.075,0.034,0.1,9,1.5,29.184
4,80,0.15,0.1,0.13,0.033,0.075,0.0204,1,9,1.5,2.244
2,40,0.15,0.06,0.13,0.033,0.225,0.034,0.3,9,0.75,12.077
2,40,0.45,0.06,0.026,0.165,0.075,0.0204,0.3,15,0.75,11.858
4,80,0.15,0.1,0.026,0.099,0.075,0.068,0.3,9,1.5,17.917
4,80,1.5,0.02,0.26,0.165,0.225,0.0068,0.1,9,1.5,24.087
4,80,0.15,0.02,0.078,0.165,0.075,0.0204,0.5,9,1.5,13.498
2,8,0.75,0.02,0.078,0.033,0.075,0.034,0.5,3,0.15,5.125
2,40,0.45,0.1,0.026,0.033,0.075,0.0204,0.3,9,0.75,13.274
0.4,8,1.5,0.02,0.026,0.033,0.075,0.0068,0.1,3,0.15,4.677
4,80,1.5,0.2,0.13,0.165,0.375,0.0068,0.1,9,1.5,18.907
2,40,0.75,0.1,0.026,0.099,0.075,0.034,0.1,15,0.75,10.797
1.2,40,0.15,0.1,0.026,0.165,0.075,0.0068,0.1,15,0.75,0.619
2,40,0.45,0.02,0.13,0.165,0.075,0.034,0.1,15,0.75,7.29
4,80,1.5,0.2,0.026,0.099,0.075,0.068,0.3,9,1.5,16.321
2,40,0.45,0.1,0.13,0.033,0.075,0.034,0.3,15,0.45,3.561
0.4,24,0.45,0.1,0.078,0.165,0.225,0.0204,0.3,9,0.45,3.448
2,40,0.45,0.02,0.13,0.165,0.225,0.034,0.1,15,0.75,7.853
2,8,0.75,0.06,0.078,0.033,0.075,0.034,0.5,3,0.75,3.387
1.2,40,0.15,0.06,0.078,0.099,0.075,0.034,0.1,15,0.75,2.53
4,80,1.5,0.02,0.078,0.165,0.375,0.0068,0.1,9,1.5,20.461
2,40,0.15,0.02,0.026,0.033,0.225,0.0068,0.3,15,0.75,12.681
4,80,0.75,0.06,0.078,0.165,0.375,0.034,0.1,9,1.5,21.755
4,80,1.5,0.02,0.078,0.099,0.075,0.0068,0.1,9,1.5,23.221
4,80,0.15,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.147
2,40,0.45,0.02,0.078,0.165,0.075,0.034,0.3,9,0.75,12.374
4,80,0.15,0.06,0.026,0.165,0.075,0.0204,0.3,9,1.5,15.186
2,40,0.15,0.1,0.026,0.033,0.075,0.0068,0.5,15,0.75,10.899
4,80,0.75,0.1,0.026,0.165,0.075,0.068,0.3,9,1.5,21.95
2,40,0.45,0.02,0.13,0.099,0.075,0.0204,0.3,15,0.75,11.519
4,80,1.5,0.02,0.13,0.033,0.225,0.0068,0.1,9,1.5,22.265
2,8,0.15,0.1,0.026,0.033,0.075,0.034,0.3,3,0.75,5.243
4,80,0.45,0.2,0.078,0.033,0.075,0.068,0.1,9,1.5,21.476
4,80,0.45,0.02,0.078,0.099,0.075,0.0204,1,9,1.5,2.877
2,24,0.45,0.02,0.078,0.033,0.375,0.0068,0.5,3,0.45,0.222
2,40,0.45,0.06,0.026,0.033,0.075,0.034,0.5,3,0.75,9.949
4,80,0.75,0.02,0.26,0.099,0.075,0.0204,0.1,9,1.5,25.958
4,80,0.15,0.1,0.13,0.033,0.225,0.0068,0.1,9,1.5,14.517
2,40,0.45,0.02,0.13,0.033,0.075,0.034,0.3,15,0.75,10.103
4,80,0.15,0.06,0.026,0.33,0.075,0.0204,0.1,9,1.5,16.131
1.2,40,0.15,0.02,0.078,0.165,0.075,0.0068,0.5,15,0.45,9.856
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.3,3,0.75,10.398
4,80,1.5,0.2,0.078,0.099,0.075,0.0068,0.3,9,1.5,24.222
4,80,1.5,0.06,0.13,0.033,0.075,0.0068,0.1,9,1.5,22.995
2,40,0.75,0.06,0.026,0.165,0.075,0.0068,0.1,15,0.75,8.651
1.2,40,0.15,0.06,0.078,0.099,0.075,0.0068,0.5,15,0.45,8.31
4,80,0.45,0.02,0.078,0.033,0.225,0.034,0.1,9,1.5,18.142
4,80,0.75,0.02,0.078,0.165,0.225,0.0204,0.1,9,1.5,26.642
2,40,0.45,0.1,0.026,0.099,0.225,0.034,0.3,15,0.75,13.062
4,80,1.5,0.06,0.026,0.165,0.075,0.034,0.1,9,1.5,22.8
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,3,1.5,3.796
4,80,0.15,0.1,0.026,0.165,0.075,0.034,0.1,9,1.5,16.557
4,80,0.15,0.1,0.13,0.33,0.075,0.034,0.1,9,1.5,15.759
2,40,0.15,0.02,0.026,0.099,0.225,0.034,0.1,15,0.75,7.694
4,80,1.5,0.06,0.078,0.099,0.225,0.034,0.1,9,1.5,24.1
4,80,0.75,0.2,0.078,0.033,0.075,0.0068,0.1,9,1.5,26.437
4,80,0.75,0.06,0.026,0.033,0.225,0.034,0.1,9,1.5,22.451
2,40,0.15,0.1,0.078,0.165,0.075,0.0204,0.5,15,0.75,9.16
1.2,8,0.75,0.06,0.026,0.033,0.075,0.0068,0.5,3,0.75,3.184
1.2,8,0.45,0.1,0.078,0.099,0.225,0.0204,0.5,3,0.15,5.511
2,8,0.15,0.06,0.026,0.033,0.075,0.034,0.1,9,0.75,5.377
2,40,0.45,0.02,0.078,0.099,0.225,0.0204,0.1,15,0.75,6.779
4,80,1.5,0.02,0.26,0.033,0.075,0.0204,0.1,9,1.5,17.645
1.2,40,0.15,0.06,0.13,0.165,0.225,0.034,0.5,15,0.75,8.348
4,80,1.5,0.2,0.13,0.099,0.225,0.034,0.1,9,1.5,20.989
4,80,0.75,0.2,0.078,0.099,0.075,0.0068,0.1,9,1.5,28.325
4,80,0.15,0.1,0.078,0.033,0.075,0.034,0.1,9,1.5,19.692
2,8,0.15,0.06,0.13,0.165,0.075,0.034,0.3,9,0.15,2.625
2,40,0.75,0.1,0.078,0.033,0.075,0.0204,0.1,15,0.75,9.071
4,80,0.45,0.1,0.026,0.033,0.075,0.0068,1,9,1.5,1.707
4,80,0.75,0.1,0.078,0.33,0.225,0.0204,0.1,9,1.5,22.728
4,80,1.5,0.1,0.078,0.165,0.375,0.034,0.1,9,1.5,23.906
4,80,1.5,0.06,0.26,0.033,0.075,0.034,0.1,9,1.5,25.096
2,24,0.75,0.02,0.026,0.033,0.375,0.0068,0.3,15,0.75,8.326
0.4,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,9,0.75,8.392
0.4,40,0.15,0.06,0.026,0.165,0.075,0.0068,0.1,15,0.75,0.892
4,80,1.5,0.02,0.26,0.33,0.75,0.068,1,30,1.5,2.066
4,80,1.5,0.1,0.13,0.165,0.375,0.0204,0.1,9,1.5,19.639
4,80,0.45,0.06,0.026,0.033,0.225,0.0204,0.1,9,1.5,19.432
2,40,0.45,0.06,0.078,0.099,0.075,0.034,0.1,15,0.75,5.991
4,80,0.45,0.02,0.13,0.33,0.075,0.0204,0.1,9,1.5,17.574
1.2,40,0.45,0.02,0.026,0.165,0.075,0.0068,0.5,15,0.75,11.605
4,80,0.15,0.06,0.026,0.165,0.225,0.034,0.1,9,1.5,16.493
2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.1,3,0.75,12.239
4,80,0.45,0.2,0.078,0.033,0.075,0.0204,0.3,9,1.5,21.818
2,80,1.5,0.1,0.13,0.165,0.075,0.0068,0.1,9,1.5,18.023
0.4,8,0.15,0.02,0.026,0.033,0.75,0.0068,0.1,3,0.15,5.655
2,40,0.45,0.1,0.026,0.033,0.075,0.034,0.3,15,0.75,11.457
0.4,24,0.45,0.02,0.026,0.033,0.225,0.034,0.3,9,0.45,4.907
4,80,0.45,0.2,0.078,0.099,0.075,0.0204,0.1,9,1.5,21.255
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.5,9,0.75,10.668
4,80,0.75,0.2,0.026,0.165,0.225,0.0068,0.1,9,1.5,21.716
4,80,1.5,0.2,0.026,0.165,0.375,0.0068,0.1,9,1.5,23.13
2,40,0.45,0.06,0.078,0.165,0.075,0.0204,0.1,15,0.75,8.664
4,80,0.45,0.1,0.026,0.165,0.225,0.0068,0.1,9,1.5,20.889
4,80,1.5,0.1,0.078,0.165,0.225,0.0204,0.1,9,1.5,25.072
2,40,0.45,0.02,0.078,0.033,0.075,0.0204,0.3,9,0.75,1.872
2,40,0.15,0.02,0.078,0.033,0.075,0.034,0.5,3,0.75,9.263
4,80,1.5,0.2,0.078,0.033,0.225,0.068,0.1,9,1.5,21.392
4,80,0.45,0.06,0.026,0.033,0.225,0.0068,0.1,9,1.5,19.936
1.2,40,0.15,0.02,0.078,0.033,0.075,0.0204,0.1,15,0.45,7.816
4,80,0.45,0.02,0.026,0.099,0.075,0.0068,0.1,9,1.5,22.24
4,80,0.75,0.02,0.026,0.033,0.075,0.0068,0.5,9,1.5,14.59
4,80,0.15,0.02,0.078,0.033,0.075,0.034,0.1,9,1.5,14.433
4,80,0.75,0.2,0.026,0.033,0.375,0.0068,0.1,9,1.5,27.174
4,80,0.45,0.02,0.026,0.099,0.075,0.0068,0.3,9,1.5,20.171
4,80,1.5,0.1,0.026,0.099,0.075,0.0068,0.1,9,1.5,29.779
1.2,40,0.45,0.02,0.078,0.099,0.075,0.0204,0.5,15,0.75,10.168
4,80,0.45,0.2,0.026,0.33,0.075,0.068,0.1,9,1.5,20.175
4,80,0.45,0.1,0.078,0.099,0.075,0.0068,0.1,9,1.5,20.371
4,40,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.321
4,80,0.45,0.06,0.13,0.165,0.075,0.068,0.1,9,1.5,22.884
2,40,0.15,0.1,0.026,0.033,0.075,0.0068,0.1,15,0.45,9.197
4,80,0.15,0.1,0.026,0.033,0.225,0.068,0.5,9,1.5,14.01
4,80,0.15,0.02,0.078,0.033,0.225,0.068,0.1,9,1.5,13.195
1.2,8,0.75,0.02,0.13,0.099,0.375,0.0068,0.5,9,0.75,2.025
4,80,1.5,0.1,0.026,0.33,0.075,0.0204,0.1,9,1.5,23.05
4,80,1.5,0.1,0.13,0.33,0.225,0.034,0.1,9,1.5,24.856
2,40,0.15,0.1,0.026,0.033,0.225,0.0204,0.3,9,0.75,12.983
1.2,8,0.15,0.06,0.13,0.099,0.225,0.034,0.3,3,0.15,6.119
1.2,40,0.75,0.02,0.026,0.099,0.375,0.034,0.3,15,0.75,10
4,80,0.15,0.1,0.078,0.033,0.075,0.068,0.1,9,1.5,20.944
4,80,1.5,0.02,0.026,0.099,0.225,0.034,0.1,9,1.5,27.906
4,80,0.15,0.2,0.13,0.033,0.075,0.068,0.3,9,1.5,17.093
2,40,0.45,0.06,0.026,0.033,0.075,0.034,0.3,9,0.75,15.358
1.2,40,0.15,0.02,0.13,0.033,0.075,0.0068,0.5,15,0.75,9.729
2,40,0.45,0.06,0.13,0.033,0.075,0.0204,0.3,15,0.75,12.142
4,80,0.45,0.1,0.026,0.165,0.075,0.068,0.1,9,1.5,20.399
4,80,1.5,0.2,0.13,0.033,0.075,0.034,0.3,9,1.5,17.432
4,80,0.15,0.02,0.026,0.165,0.225,0.068,0.5,9,1.5,14.025
4,80,0.15,0.1,0.026,0.33,0.075,0.034,0.5,9,1.5,9.807
4,80,1.5,0.1,0.078,0.099,0.075,0.0204,0.3,9,1.5,21.985
2,40,0.15,0.1,0.13,0.033,0.075,0.0204,0.3,15,0.75,10.031
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,0.75,0.108
4,80,1.5,0.02,0.026,0.33,0.375,0.034,0.1,9,1.5,24.593
1.2,8,0.45,0.06,0.026,0.033,0.075,0.034,0.3,3,0.75,4.74
2,40,0.15,0.02,0.026,0.033,0.225,0.034,0.1,15,0.75,4.66
2,40,0.15,0.1,0.026,0.033,0.075,0.0204,0.1,15,0.75,5.673
4,80,1.5,0.2,0.078,0.33,0.375,0.0204,0.1,9,1.5,21.736
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.5,3,0.75,10.035
0.4,8,0.15,0.1,0.078,0.033,0.075,0.034,0.3,3,0.75,4.678
4,80,1.5,0.06,0.13,0.33,0.075,0.0204,0.1,9,1.5,24.976
1.2,24,0.15,0.1,0.026,0.033,0.075,0.034,0.3,9,0.75,8.497
4,80,0.45,0.1,0.026,0.165,0.075,0.034,1,9,1.5,1.928
4,80,1.5,0.02,0.078,0.099,0.225,0.0068,0.1,9,1.5,22.929
4,80,0.45,0.02,0.078,0.33,0.075,0.0068,0.1,9,1.5,21.028
2,40,0.15,0.02,0.13,0.165,0.225,0.0204,0.3,9,0.75,11.424
1.2,24,0.15,0.1,0.078,0.033,0.075,0.034,0.5,3,0.75,6.41
2,8,0.15,0.02,0.078,0.033,0.375,0.034,0.5,9,0.45,3.744
1.2,40,0.15,0.02,0.026,0.099,0.075,0.034,0.5,3,0.75,10.153
0.4,8,0.15,0.02,0.13,0.099,0.225,0.034,0.1,3,0.75,4.984
4,80,1.5,0.02,0.078,0.099,0.375,0.0204,0.1,9,1.5,21.28
4,80,0.45,0.1,0.078,0.033,0.075,0.0204,0.5,9,1.5,17.019
2,40,0.15,0.02,0.078,0.165,0.075,0.034,0.1,15,0.45,8.769
4,80,1.5,0.2,0.078,0.033,0.075,0.068,0.3,9,1.5,18.397
4,80,1.5,0.1,0.026,0.165,0.375,0.068,0.1,9,1.5,23.809
4,80,1.5,0.06,0.026,0.165,0.225,0.0068,0.1,9,1.5,23.263
1.2,24,0.75,0.06,0.13,0.165,0.375,0.034,0.1,3,0.45,2.5
1.2,40,0.45,0.02,0.078,0.099,0.075,0.0068,0.3,15,0.75,11.325
1.2,40,0.15,0.06,0.026,0.099,0.075,0.0204,0.3,15,0.75,11.349
1.2,24,0.45,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,9.121
1.2,24,0.45,0.06,0.078,0.033,0.375,0.0204,0.3,15,0.15,3.568
2,40,0.45,0.02,0.026,0.165,0.075,0.034,0.1,15,0.75,7.884
4,80,1.5,0.1,0.026,0.165,0.225,0.0068,0.1,9,1.5,22.782
4,80,0.45,0.02,0.026,0.033,0.075,0.0204,1,9,1.5,1.521
4,80,1.5,0.1,0.026,0.033,0.225,0.034,0.1,9,1.5,28.568
4,80,0.15,0.06,0.13,0.033,0.075,0.0068,1,9,1.5,2.034
4,80,1.5,0.02,0.026,0.165,0.075,0.034,0.1,9,1.5,23.164
0.4,8,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,3,1.5,3.701
4,80,0.75,0.02,0.26,0.165,0.075,0.034,0.1,9,1.5,27.291
4,80,0.75,0.2,0.13,0.099,0.075,0.0204,0.1,9,1.5,27.889
1.2,40,0.15,0.02,0.078,0.033,0.075,0.034,0.1,15,0.75,6.02
1.2,40,0.75,0.02,0.026,0.033,0.075,0.034,0.5,9,0.75,9.45
2,40,0.75,0.02,0.026,0.033,0.075,0.0204,0.5,9,0.75,9.331
4,80,0.15,0.06,0.026,0.099,0.225,0.0068,0.1,9,1.5,18.942
2,40,0.15,0.06,0.13,0.033,0.225,0.0068,0.3,9,0.75,11.667
4,80,0.15,0.06,0.026,0.099,0.225,0.068,1,9,1.5,1.07
4,80,0.45,0.1,0.026,0.099,0.075,0.0068,0.5,9,1.5,13.339
4,80,0.15,0.02,0.078,0.165,0.075,0.034,0.3,9,1.5,19.521
4,80,0.15,0.1,0.078,0.099,0.075,0.0204,1,9,1.5,1.818
2,40,0.15,0.06,0.026,0.033,0.225,0.0204,0.3,9,0.75,15.77
4,80,1.5,0.2,0.078,0.33,0.225,0.0204,0.1,9,1.5,21.529
2,40,0.15,0.1,0.078,0.165,0.075,0.034,0.1,9,0.75,9.824
4,80,0.45,0.02,0.026,0.165,0.075,0.068,0.1,9,1.5,16.594
4,80,1.5,0.2,0.026,0.033,0.075,0.0068,0.3,9,1.5,20.894
2,40,0.45,0.02,0.13,0.099,0.075,0.034,0.3,9,0.75,9.745
1.2,24,0.45,0.1,0.026,0.033,0.075,0.034,0.5,3,0.75,7.324
1.2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.1,9,0.75,8.911
2,40,0.45,0.1,0.026,0.099,0.075,0.034,0.1,15,0.75,6.722
1.2,40,0.15,0.02,0.026,0.165,0.075,0.0204,0.1,15,0.15,6.021
4,80,0.45,0.06,0.026,0.165,0.075,0.0068,0.3,9,1.5,17.291
4,80,0.45,0.06,0.13,0.033,0.075,0.0068,0.1,9,1.5,19.619
4,80,0.15,0.02,0.026,0.099,0.075,0.0204,0.1,9,1.5,17.952
4,80,0.15,0.1,0.13,0.33,0.075,0.0204,0.1,9,1.5,15.086
1.2,40,0.45,0.02,0.078,0.165,0.075,0.0204,0.5,15,0.75,10.454
4,80,0.45,0.02,0.026,0.033,0.225,0.0204,0.1,9,1.5,17.84
4,80,1.5,0.1,0.26,0.033,0.075,0.0204,0.1,9,1.5,24.718
2,40,0.45,0.1,0.026,0.099,0.075,0.0204,0.1,15,0.75,8.204
0.4,8,0.75,0.1,0.026,0.033,0.075,0.0204,0.3,15,0.45,3.857
2,40,0.45,0.06,0.026,0.033,0.075,0.0204,0.3,9,0.75,15.569
4,80,0.75,0.1,0.13,0.165,0.075,0.0204,0.1,9,1.5,26.028
2,40,0.45,0.1,0.078,0.033,0.075,0.0204,0.1,15,0.75,9.374
4,80,0.45,0.06,0.026,0.165,0.075,0.034,0.5,9,1.5,13.485
4,80,0.15,0.02,0.13,0.33,0.075,0.0204,0.1,9,1.5,15.41
1.2,40,0.15,0.1,0.13,0.165,0.075,0.0068,0.3,15,0.45,7.943
1.2,8,0.75,0.1,0.078,0.165,0.075,0.034,0.1,3,0.15,3.501
4,80,1.5,0.2,0.026,0.099,0.075,0.034,0.1,9,1.5,29.309
2,40,0.75,0.02,0.078,0.165,0.075,0.0204,0.5,15,0.75,6.178
2,40,0.45,0.1,0.026,0.165,0.075,0.0204,0.1,15,0.75,7.111
2,40,0.15,0.06,0.13,0.165,0.075,0.0204,0.3,9,0.75,11.686
2,80,1.5,0.1,0.026,0.033,0.075,0.0068,0.1,9,1.5,21.826
2,80,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,9,1.5,10.398
2,40,0.15,0.02,0.026,0.033,0.075,0.0204,0.1,9,0.75,11.268
4,80,0.75,0.1,0.026,0.33,0.225,0.034,0.1,9,1.5,23.984
1.2,40,0.15,0.06,0.026,0.165,0.075,0.034,0.1,15,0.45,6.407
4,80,0.15,0.1,0.078,0.165,0.075,0.0068,0.1,9,1.5,19.736
2,40,0.45,0.02,0.026,0.099,0.075,0.034,0.3,15,0.75,12.07
4,80,0.75,0.06,0.026,0.099,0.075,0.0204,0.1,9,1.5,23.039
0.4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.00001
0.4,40,0.15,0.02,0.078,0.033,0.225,0.034,0.5,3,0.75,6.077
4,80,0.45,0.06,0.026,0.099,0.225,0.0068,0.3,9,1.5,20.439
4,80,1.5,0.02,0.13,0.099,0.075,0.0068,0.1,9,1.5,22.71
1.2,24,0.45,0.06,0.026,0.033,0.075,0.034,0.3,9,0.45,2.677
4,80,1.5,0.2,0.26,0.099,0.075,0.0204,0.1,9,1.5,21.296
4,80,0.45,0.02,0.078,0.033,0.225,0.0204,0.1,9,1.5,19.685
