Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
2,40,0.15,0.1,0.13,0.033,0.075,0.0068,0.1,15,0.75,8.009
2,40,0.45,0.06,0.026,0.099,0.075,0.0068,0.1,15,0.75,10.066
4,80,1.5,0.1,0.26,0.099,0.225,0.034,0.1,9,1.5,19.876
2,40,0.45,0.06,0.078,0.099,0.075,0.0204,0.1,15,0.75,7.83
1.2,8,0.15,0.02,0.026,0.033,0.075,0.0204,0.3,3,0.75,5.005
4,80,0.15,0.06,0.078,0.165,0.075,0.0068,1,9,1.5,1.522
2,24,0.45,0.02,0.026,0.033,0.225,0.0068,0.1,3,0.45,4.18
4,80,0.75,0.1,0.078,0.33,0.075,0.0204,0.1,9,1.5,27.385
2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.1,15,0.45,9.809
4,80,1.5,0.2,0.026,0.33,0.75,0.068,1,30,1.5,1.503
0.4,40,0.45,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,7.546
2,40,0.15,0.06,0.13,0.033,0.075,0.0068,0.3,9,0.75,11.168
2,40,0.45,0.06,0.13,0.033,0.075,0.0204,0.3,9,0.75,11.413
2,40,0.15,0.02,0.026,0.165,0.225,0.034,0.3,9,0.75,12.743
0.4,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,15,0.45,5.861
2,80,1.5,0.06,0.078,0.165,0.075,0.0068,0.1,9,1.5,20.268
2,8,0.45,0.06,0.026,0.099,0.075,0.0204,0.5,9,0.15,0.587
2,40,0.15,0.06,0.026,0.033,0.075,0.0204,0.5,9,0.75,11.278
4,80,0.45,0.02,0.078,0.033,0.075,0.034,0.5,9,1.5,16.533
2,40,0.45,0.1,0.13,0.033,0.075,0.0204,0.1,15,0.75,6.157
1.2,8,0.15,0.1,0.026,0.033,0.075,0.034,0.1,3,0.75,4.774
2,40,0.45,0.1,0.078,0.099,0.075,0.0068,0.1,9,0.75,12.671
4,80,0.75,0.06,0.026,0.165,0.225,0.0068,0.1,9,1.5,22.518
1.2,40,0.15,0.06,0.026,0.165,0.075,0.0204,0.1,15,0.45,8.124
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,0.15,0.00001
0.4,8,0.15,0.02,0.026,0.033,0.075,0.068,0.1,3,0.15,5.925
2,40,0.75,0.06,0.026,0.033,0.075,0.034,0.1,15,0.75,2.48
4,80,0.45,0.06,0.13,0.33,0.075,0.034,0.1,9,1.5,22.637
2,40,0.15,0.1,0.026,0.033,0.225,0.034,0.1,15,0.75,7.115
2,40,0.15,0.06,0.078,0.033,0.075,0.0068,0.3,15,0.75,11.695
2,40,0.15,0.1,0.026,0.033,0.075,0.0204,0.1,9,0.75,10.541
4,80,0.75,0.06,0.026,0.165,0.375,0.0204,0.1,9,1.5,23.597
4,80,0.75,0.02,0.078,0.099,0.225,0.0068,0.1,9,1.5,24.951
4,80,0.45,0.2,0.078,0.099,0.075,0.0204,0.5,9,1.5,18.186
0.4,8,0.15,0.02,0.026,0.033,0.075,0.0068,1,3,0.15,5.111
4,80,1.5,0.2,0.026,0.33,0.075,0.0068,0.1,9,1.5,28.709
2,8,0.15,0.1,0.026,0.165,0.225,0.034,0.5,9,0.45,3.714
4,80,1.5,0.06,0.078,0.165,0.075,0.068,0.1,9,1.5,25.664
0.4,40,0.45,0.1,0.13,0.033,0.075,0.0204,0.3,15,0.45,6.46
4,80,1.5,0.02,0.026,0.033,0.225,0.034,0.1,9,1.5,27.133
0.4,40,0.75,0.02,0.026,0.099,0.375,0.0068,0.3,9,0.45,5.313
2,40,0.15,0.02,0.078,0.165,0.225,0.034,0.3,9,0.75,12.962
2,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.405
2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.3,15,0.75,12.133
4,80,0.45,0.1,0.078,0.033,0.075,0.034,0.5,9,1.5,17.41
4,80,0.15,0.06,0.026,0.33,0.075,0.0068,0.1,9,1.5,16.618
2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.1,9,0.75,10.691
4,80,1.5,0.2,0.26,0.165,0.075,0.068,0.1,9,1.5,21.608
4,80,1.5,0.1,0.26,0.033,0.075,0.0068,0.1,9,1.5,25.231
2,40,0.15,0.1,0.13,0.033,0.075,0.0068,0.3,9,0.15,1.186
2,80,1.5,0.06,0.026,0.33,0.075,0.068,0.1,9,1.5,20.389
4,80,0.75,0.2,0.13,0.099,0.225,0.0204,0.1,9,1.5,23.025
4,80,0.75,0.2,0.078,0.165,0.075,0.0204,0.1,9,1.5,24.873
0.4,24,0.45,0.02,0.026,0.033,0.225,0.034,0.5,15,0.45,4.039
4,80,0.15,0.1,0.026,0.033,0.075,0.0068,1,9,1.5,1.927
4,8,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,3,0.15,7.058
4,80,1.5,0.2,0.026,0.099,0.375,0.0204,0.1,9,1.5,22.815
2,24,0.75,0.1,0.13,0.165,0.225,0.0068,0.1,9,0.15,0.163
4,80,0.45,0.02,0.13,0.099,0.075,0.068,0.3,9,1.5,21.244
1.2,40,0.15,0.06,0.026,0.033,0.075,0.034,0.5,3,0.45,5.999
4,80,1.5,0.02,0.026,0.165,0.075,0.0068,0.1,9,1.5,24.398
0.4,24,0.75,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,3.295
4,80,0.75,0.02,0.026,0.165,0.075,0.0068,0.3,9,1.5,22.497
4,80,0.75,0.02,0.026,0.033,0.075,0.0068,0.1,9,1.5,22.174
4,80,1.5,0.2,0.026,0.165,0.075,0.068,0.1,9,1.5,24.633
4,80,0.15,0.06,0.13,0.33,0.075,0.0068,0.3,9,1.5,17.221
4,80,0.45,0.06,0.078,0.165,0.225,0.068,0.1,9,1.5,20.706
2,40,0.15,0.02,0.13,0.165,0.075,0.0204,0.3,9,0.75,12.1
2,40,0.45,0.02,0.13,0.165,0.225,0.0204,0.3,9,0.75,11.436
4,80,1.5,0.2,0.078,0.099,0.375,0.034,0.1,9,1.5,22.616
0.4,24,0.45,0.1,0.078,0.033,0.075,0.034,0.5,3,0.75,6.555
4,80,0.15,0.02,0.078,0.099,0.075,0.0068,0.1,9,1.5,18.168
4,80,0.15,0.2,0.13,0.099,0.075,0.0204,0.5,9,1.5,14.261
4,80,1.5,0.2,0.026,0.033,0.375,0.034,0.1,9,1.5,24.545
1.2,40,0.15,0.02,0.13,0.033,0.225,0.0204,0.3,9,0.75,7.356
2,40,0.45,0.02,0.078,0.033,0.075,0.034,0.3,15,0.75,10.262
4,80,0.15,0.02,0.026,0.099,0.225,0.068,0.1,9,1.5,17.639
2,8,0.15,0.06,0.078,0.033,0.075,0.034,0.5,15,0.45,4.85
4,80,0.45,0.02,0.13,0.165,0.075,0.034,0.1,9,1.5,20.805
2,40,0.75,0.02,0.026,0.033,0.075,0.034,0.5,3,0.45,4.177
4,80,1.5,0.1,0.026,0.099,0.375,0.0068,0.1,9,1.5,21.96
1.2,40,0.15,0.06,0.026,0.099,0.075,0.0204,0.1,15,0.45,8.441
4,80,0.45,0.1,0.026,0.33,0.075,0.0068,0.1,9,1.5,19.458
2,40,0.15,0.06,0.026,0.099,0.075,0.0204,0.3,9,0.75,13.034
2,40,0.45,0.02,0.026,0.033,0.075,0.0204,0.3,15,0.75,14.587
4,80,0.75,0.2,0.078,0.099,0.075,0.068,0.1,9,1.5,26.324
4,80,0.15,0.1,0.026,0.33,0.075,0.034,0.1,9,1.5,21.088
4,80,1.5,0.2,0.026,0.33,0.375,0.0204,0.1,9,1.5,21.215
2,40,0.45,0.1,0.026,0.099,0.075,0.034,0.1,3,0.75,12.54
4,80,1.5,0.02,0.026,0.033,0.225,0.0204,0.1,9,1.5,23.002
1.2,40,0.45,0.02,0.026,0.099,0.075,0.034,0.3,3,0.75,8.289
2,40,0.45,0.06,0.078,0.033,0.075,0.034,0.5,3,0.75,9.695
2,40,0.45,0.06,0.078,0.033,0.075,0.034,0.3,15,0.75,10.68
0.4,8,0.75,0.1,0.13,0.099,0.375,0.0068,0.3,9,0.75,2.322
4,80,1.5,0.1,0.026,0.033,0.075,0.068,0.1,9,1.5,25.993
4,80,0.45,0.2,0.078,0.033,0.225,0.034,0.1,9,1.5,17.311
0.4,40,0.15,0.1,0.026,0.099,0.075,0.034,0.1,15,0.75,1.772
4,80,0.15,0.02,0.078,0.099,0.075,0.0068,1,9,1.5,2.009
4,80,1.5,0.2,0.078,0.099,0.375,0.0204,0.1,9,1.5,22.755
4,80,0.45,0.2,0.13,0.099,0.075,0.034,0.1,9,1.5,20.632
0.4,40,0.45,0.02,0.026,0.033,0.075,0.0204,0.1,3,0.75,10.443
1.2,24,0.45,0.06,0.026,0.033,0.225,0.0204,0.5,9,0.45,2.961
4,80,0.15,0.06,0.078,0.099,0.075,0.0204,0.5,9,1.5,13.322
4,80,0.15,0.02,0.026,0.033,0.075,0.068,1,9,1.5,1.298
4,80,0.15,0.2,0.078,0.33,0.075,0.0204,0.3,9,1.5,15.429
0.4,8,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,30,0.15,2.039
2,40,0.45,0.02,0.13,0.165,0.075,0.0204,0.3,9,0.75,12.378
4,80,0.45,0.06,0.13,0.033,0.075,0.068,0.3,9,1.5,20.471
2,40,0.75,0.1,0.13,0.033,0.075,0.0068,0.1,15,0.75,7.869
2,40,0.45,0.06,0.026,0.099,0.075,0.0204,0.1,9,0.75,11.749
4,80,1.5,0.02,0.13,0.099,0.225,0.0068,0.1,9,1.5,22.741
2,40,0.15,0.02,0.13,0.033,0.075,0.0204,0.3,15,0.75,10.06
4,80,0.45,0.06,0.078,0.033,0.075,0.0068,1,9,1.5,2.547
2,24,0.45,0.06,0.078,0.033,0.225,0.0204,0.5,9,0.15,1.8
4,80,0.45,0.02,0.13,0.165,0.375,0.034,0.1,9,1.5,20.088
2,24,0.15,0.02,0.026,0.099,0.225,0.0068,0.3,15,0.75,5.185
4,80,0.75,0.02,0.078,0.099,0.075,0.0204,0.1,9,1.5,23.741
1.2,40,0.45,0.06,0.026,0.033,0.075,0.0204,0.1,3,0.75,11.232
2,24,0.15,0.02,0.026,0.033,0.225,0.034,0.5,3,0.75,7.063
4,80,0.45,0.06,0.026,0.165,0.075,0.0068,1,9,1.5,1.723
2,24,0.45,0.06,0.026,0.033,0.075,0.0068,0.5,9,0.45,0.499
1.2,40,0.15,0.02,0.026,0.033,0.225,0.0068,0.5,15,0.75,9.046
4,80,0.15,0.1,0.13,0.099,0.075,0.0204,0.1,9,1.5,17.196
4,80,1.5,0.06,0.078,0.099,0.375,0.0204,0.1,9,1.5,19.793
2,40,0.15,0.06,0.026,0.033,0.225,0.0204,0.1,15,0.75,4.483
2,40,0.45,0.06,0.078,0.099,0.075,0.0068,0.1,15,0.75,9.26
2,80,1.5,0.1,0.026,0.033,0.075,0.0204,0.1,9,1.5,22.248
2,40,0.15,0.1,0.026,0.033,0.075,0.0204,0.1,9,0.75,10.855
4,80,0.75,0.1,0.13,0.165,0.225,0.034,0.1,9,1.5,26.438
1.2,40,0.15,0.1,0.026,0.033,0.225,0.034,0.5,15,0.75,10.457
4,80,0.75,0.2,0.026,0.033,0.075,0.0068,0.1,9,1.5,22.693
4,80,0.75,0.2,0.078,0.033,0.075,0.0204,0.1,9,1.5,23.376
4,80,0.15,0.1,0.026,0.099,0.225,0.0204,0.1,9,1.5,16.961
4,80,0.15,0.02,0.13,0.33,0.075,0.034,0.1,9,1.5,16.647
4,80,0.15,0.2,0.026,0.099,0.075,0.0068,0.3,9,1.5,19.623
1.2,8,0.75,0.1,0.026,0.033,0.075,0.034,0.5,3,0.75,2.624
4,80,0.15,0.02,0.026,0.033,0.225,0.068,0.5,9,1.5,12.888
2,40,0.15,0.02,0.13,0.099,0.075,0.0204,0.1,15,0.75,8.376
4,80,0.45,0.06,0.13,0.033,0.075,0.034,0.1,9,1.5,17.82
4,80,0.75,0.1,0.026,0.099,0.075,0.034,0.3,9,1.5,20.771
4,80,0.75,0.2,0.13,0.165,0.225,0.034,0.1,9,1.5,21.423
4,80,1.5,0.02,0.078,0.33,0.375,0.0068,0.1,9,1.5,19.725
2,40,0.15,0.02,0.078,0.165,0.225,0.0068,0.3,9,0.75,12.088
2,40,0.75,0.1,0.13,0.099,0.075,0.034,0.1,15,0.75,10.8
4,80,0.75,0.1,0.078,0.099,0.075,0.0068,0.1,9,1.5,23.13
4,80,1.5,0.02,0.078,0.33,0.075,0.0068,0.1,9,1.5,25.425
4,80,0.75,0.02,0.026,0.033,0.075,0.034,0.1,9,1.5,24.748
1.2,24,0.45,0.02,0.026,0.099,0.075,0.034,0.5,3,0.75,7.072
1.2,40,0.45,0.06,0.026,0.099,0.075,0.0204,0.1,15,0.75,9.229
4,80,0.75,0.2,0.078,0.165,0.075,0.0068,0.3,9,1.5,19.88
4,80,0.75,0.1,0.026,0.099,0.075,0.0068,0.1,9,1.5,26.946
4,80,1.5,0.1,0.26,0.33,0.75,0.068,1,30,1.5,0.347
2,40,0.45,0.06,0.13,0.165,0.075,0.0204,0.3,9,0.75,10.889
4,80,1.5,0.1,0.078,0.33,0.225,0.0068,0.1,9,1.5,21.496
1.2,40,0.15,0.06,0.13,0.099,0.075,0.034,0.3,15,0.75,8.347
2,40,0.45,0.02,0.078,0.099,0.075,0.034,0.3,15,0.75,10.888
4,80,1.5,0.1,0.13,0.099,0.225,0.034,0.1,9,1.5,19.752
4,80,0.15,0.06,0.026,0.099,0.075,0.034,0.3,9,1.5,20.607
4,80,1.5,0.06,0.13,0.165,0.075,0.068,0.1,9,1.5,24.349
4,80,0.75,0.02,0.026,0.165,0.075,0.034,0.1,9,1.5,23.389
4,80,0.45,0.06,0.026,0.033,0.225,0.068,0.1,9,1.5,16.787
4,80,0.15,0.06,0.026,0.33,0.225,0.0068,0.1,9,1.5,14.571
4,80,0.45,0.1,0.026,0.033,0.375,0.034,0.1,9,1.5,19.266
4,80,0.45,0.1,0.26,0.165,0.075,0.0204,0.1,9,1.5,19.19
2,40,0.75,0.06,0.026,0.033,0.225,0.0204,0.1,15,0.75,5.758
1.2,24,0.15,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,7.13
1.2,40,0.15,0.06,0.026,0.033,0.225,0.034,0.5,3,0.75,9.854
4,80,0.15,0.1,0.13,0.099,0.075,0.0204,1,9,1.5,2.683
4,80,0.15,0.06,0.13,0.099,0.075,0.0204,0.3,9,1.5,21.463
2,40,0.15,0.06,0.13,0.165,0.075,0.0068,0.3,15,0.75,9.729
2,40,0.15,0.02,0.026,0.033,0.225,0.0068,0.1,15,0.75,6.706
4,80,1.5,0.02,0.026,0.099,0.225,0.068,0.1,9,1.5,22.126
1.2,40,0.45,0.1,0.078,0.033,0.075,0.034,0.5,3,0.75,9.232
4,80,0.45,0.1,0.078,0.099,0.075,0.068,0.1,9,1.5,20.448
4,80,0.45,0.06,0.026,0.033,0.225,0.034,0.3,9,1.5,19.658
4,80,0.15,0.06,0.026,0.033,0.075,0.0204,0.1,9,1.5,12.841
1.2,40,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,15,0.75,4.785
2,40,0.45,0.06,0.13,0.165,0.075,0.034,0.3,9,0.75,12.582
4,80,0.15,0.1,0.13,0.099,0.075,0.0068,0.3,9,1.5,17.321
0.4,40,0.15,0.06,0.078,0.033,0.075,0.0204,0.1,15,0.75,2.666
2,40,0.15,0.02,0.13,0.099,0.075,0.0204,0.3,9,0.75,12.072
2,40,0.15,0.02,0.078,0.165,0.075,0.0204,0.3,15,0.75,9.963
4,80,0.15,0.1,0.078,0.099,0.075,0.0204,0.1,9,1.5,15.479
4,80,1.5,0.02,0.078,0.33,0.225,0.034,0.1,9,1.5,22.414
4,80,1.5,0.02,0.026,0.33,0.225,0.034,0.1,9,1.5,25.078
2,40,0.15,0.1,0.026,0.165,0.075,0.034,0.3,9,0.75,11.399
1.2,40,0.15,0.06,0.026,0.033,0.225,0.0068,0.1,15,0.75,3.345
1.2,40,0.15,0.06,0.026,0.099,0.075,0.034,0.3,15,0.45,12.207
1.2,40,0.15,0.1,0.026,0.033,0.075,0.0068,0.1,9,0.75,10.77
2,40,0.15,0.02,0.026,0.099,0.225,0.0204,0.1,15,0.75,7.279
2,40,0.15,0.02,0.078,0.099,0.075,0.034,0.1,9,0.75,10.487
4,80,0.75,0.02,0.026,0.033,0.375,0.0204,0.1,9,1.5,23.635
0.4,40,0.45,0.02,0.026,0.033,0.075,0.034,0.1,15,0.75,5.922
4,80,0.15,0.1,0.13,0.033,0.075,0.068,1,9,1.5,3.051
4,80,0.75,0.2,0.026,0.033,0.075,0.034,0.1,9,1.5,23.158
2,40,0.45,0.06,0.026,0.099,0.075,0.034,0.3,15,0.75,11.632
2,40,0.15,0.02,0.13,0.165,0.075,0.0068,0.3,15,0.45,9.879
4,80,0.15,0.06,0.026,0.099,0.225,0.0204,1,9,1.5,1.328
4,80,0.15,0.02,0.026,0.165,0.075,0.034,0.1,9,1.5,19.346
1.2,40,0.15,0.1,0.026,0.099,0.075,0.034,0.3,15,0.75,10.837
0.4,40,0.75,0.06,0.026,0.033,0.075,0.0204,0.5,3,0.75,5.179
2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.1,15,0.75,9.895
4,80,1.5,0.02,0.13,0.099,0.375,0.0068,0.1,9,1.5,21.163
1.2,40,0.45,0.02,0.026,0.099,0.075,0.034,0.1,15,0.75,8.959
4,80,0.15,0.02,0.26,0.033,0.075,0.0068,0.1,9,1.5,13.691
2,40,0.15,0.1,0.026,0.099,0.225,0.034,0.3,9,0.75,13.69
2,40,0.15,0.1,0.026,0.165,0.075,0.0068,0.3,15,0.75,11.937
4,80,0.15,0.02,0.026,0.099,0.075,0.034,0.3,9,1.5,21.699
2,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,9,0.45,8.285
4,80,0.15,0.1,0.026,0.33,0.075,0.034,1,9,1.5,1.344
1.2,40,0.15,0.02,0.026,0.165,0.075,0.0068,0.1,3,0.75,6.96
0.4,40,0.15,0.02,0.026,0.099,0.075,0.034,0.1,15,0.75,1.394
1.2,40,0.45,0.1,0.026,0.165,0.225,0.0204,0.3,3,0.45,5.049
4,80,0.45,0.06,0.078,0.033,0.075,0.068,0.1,9,1.5,16.641
4,80,1.5,0.06,0.078,0.099,0.075,0.068,0.1,9,1.5,21.456
2,80,1.5,0.06,0.026,0.033,0.075,0.034,0.1,9,1.5,21.601
1.2,40,0.45,0.02,0.026,0.033,0.075,0.0204,0.3,3,0.75,12.508
2,40,0.15,0.06,0.026,0.033,0.075,0.0068,0.3,9,0.75,14.054
4,80,1.5,0.1,0.13,0.33,0.075,0.0068,0.1,9,1.5,25.25
1.2,80,1.5,0.2,0.026,0.099,0.075,0.0068,0.1,9,1.5,18.886
4,80,1.5,0.06,0.026,0.165,0.375,0.034,0.1,9,1.5,25.89
1.2,40,0.45,0.06,0.026,0.033,0.075,0.034,0.5,3,0.75,10.159
4,80,0.15,0.06,0.078,0.165,0.075,0.068,0.1,9,1.5,15.581
2,80,1.5,0.06,0.026,0.033,0.075,0.068,0.1,9,1.5,19.943
4,80,0.15,0.06,0.026,0.099,0.075,0.0204,0.5,9,1.5,12.532
2,40,0.45,0.1,0.078,0.033,0.075,0.034,0.1,9,0.75,11.408
4,80,1.5,0.06,0.026,0.099,0.075,0.0204,0.1,9,1.5,23.313
4,80,0.15,0.1,0.078,0.033,0.075,0.068,0.5,9,1.5,11.405
4,80,0.45,0.2,0.026,0.033,0.075,0.0204,0.1,9,1.5,20.415
0.4,24,0.75,0.02,0.078,0.033,0.225,0.034,0.3,15,0.75,5.634
1.2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.5,9,0.75,11.328
4,80,0.45,0.1,0.078,0.099,0.225,0.068,0.1,9,1.5,20.906
4,80,0.75,0.06,0.026,0.033,0.075,0.0068,0.5,9,1.5,16.824
4,80,0.15,0.2,0.078,0.033,0.075,0.0068,1,9,1.5,2.316
4,80,0.75,0.1,0.026,0.033,0.075,0.0068,0.1,9,1.5,21.738
4,80,0.45,0.1,0.13,0.099,0.075,0.0068,0.1,9,1.5,18.728
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.1,15,0.15,5.206
2,40,0.45,0.1,0.13,0.033,0.075,0.0068,0.1,9,0.75,9.959
4,80,1.5,0.02,0.26,0.33,0.075,0.0204,0.1,9,1.5,23.624
4,80,1.5,0.2,0.078,0.033,0.375,0.0068,0.1,9,1.5,24.178
4,80,0.15,0.02,0.026,0.165,0.075,0.0068,0.3,9,1.5,16.957
2,40,0.45,0.1,0.13,0.033,0.075,0.034,0.1,15,0.75,6.376
2,40,0.45,0.02,0.026,0.165,0.225,0.034,0.3,15,0.75,11.479
4,80,1.5,0.2,0.26,0.33,0.75,0.068,0.5,30,1.5,2.799
4,80,0.15,0.1,0.078,0.099,0.075,0.0204,0.5,9,1.5,13.513
4,80,1.5,0.2,0.26,0.33,0.75,0.034,1,30,1.5,0.384
1.2,40,0.15,0.02,0.078,0.033,0.075,0.0068,0.1,15,0.75,5.62
1.2,40,0.45,0.06,0.026,0.165,0.225,0.034,0.3,15,0.75,9.145
4,80,0.15,0.02,0.078,0.165,0.075,0.0204,1,9,1.5,1.515
2,8,0.15,0.1,0.078,0.033,0.075,0.034,0.5,3,0.75,4.585
4,80,0.75,0.1,0.026,0.33,0.075,0.0068,0.1,9,1.5,23.832
2,80,1.5,0.2,0.026,0.099,0.075,0.0204,0.1,9,1.5,20.498
2,40,0.45,0.1,0.078,0.099,0.075,0.0204,0.3,9,0.75,1.526
4,80,1.5,0.1,0.26,0.099,0.075,0.034,0.1,9,1.5,20.733
1.2,40,0.15,0.06,0.078,0.033,0.075,0.0204,0.1,15,0.75,6.463
