Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
0.4,8,0.75,0.06,0.026,0.165,0.375,0.034,0.5,9,0.15,0.826
2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.5,15,0.75,10.843
4,80,0.15,0.02,0.078,0.099,0.225,0.0204,0.3,9,1.5,17.204
2,40,0.15,0.06,0.026,0.033,0.225,0.0204,0.3,9,0.75,12.372
4,80,0.45,0.2,0.026,0.165,0.075,0.0204,0.1,9,1.5,19.425
4,80,1.5,0.06,0.078,0.099,0.225,0.068,0.1,9,1.5,24.938
4,80,1.5,0.06,0.078,0.165,0.075,0.068,0.3,9,1.5,19.594
2,40,0.15,0.1,0.078,0.165,0.075,0.0068,0.1,15,0.45,8.219
0.4,24,0.45,0.02,0.13,0.099,0.075,0.0204,0.1,9,0.15,1.032
4,80,1.5,0.2,0.078,0.099,0.075,0.0204,0.1,9,1.5,27.213
4,80,1.5,0.06,0.078,0.33,0.075,0.068,0.1,9,1.5,24.572
1.2,40,0.15,0.1,0.13,0.033,0.075,0.0204,0.5,15,0.75,7.406
1.2,40,0.15,0.1,0.13,0.033,0.075,0.034,0.3,15,0.75,8.357
2,80,1.5,0.2,0.026,0.099,0.225,0.0204,0.1,9,1.5,20.598
4,80,0.15,0.2,0.078,0.033,0.075,0.034,0.3,9,1.5,21.097
4,80,0.75,0.06,0.13,0.33,0.075,0.0204,0.1,9,1.5,27.747
4,80,0.15,0.1,0.13,0.33,0.075,0.0068,0.3,9,1.5,16.845
0.4,8,0.45,0.02,0.13,0.033,0.225,0.0204,0.5,15,0.75,2.532
2,8,0.75,0.06,0.026,0.099,0.375,0.0068,0.1,15,0.15,1.106
2,24,0.45,0.02,0.026,0.033,0.075,0.034,0.5,9,0.75,9.625
2,40,0.15,0.06,0.078,0.099,0.225,0.034,0.3,15,0.75,9.319
1.2,40,0.15,0.02,0.078,0.099,0.075,0.034,0.1,15,0.75,2.3
4,80,0.15,0.2,0.078,0.099,0.075,0.0068,0.5,9,1.5,12.961
2,40,0.15,0.06,0.078,0.033,0.075,0.034,0.1,9,0.75,11.388
2,40,0.15,0.02,0.026,0.165,0.075,0.0068,0.3,9,0.75,13.7
4,80,1.5,0.1,0.13,0.033,0.375,0.0204,0.1,9,1.5,25.348
2,40,0.45,0.02,0.026,0.033,0.075,0.0068,0.3,3,0.75,12.493
4,80,1.5,0.2,0.078,0.099,0.225,0.068,0.1,9,1.5,25.409
2,40,0.45,0.02,0.026,0.033,0.075,0.0068,0.3,15,0.75,13.423
2,24,0.75,0.06,0.078,0.033,0.075,0.034,0.3,3,0.75,7.057
0.4,40,0.15,0.06,0.026,0.033,0.075,0.0068,0.5,3,0.75,9.84
4,80,1.5,0.06,0.026,0.033,0.075,0.034,0.1,9,1.5,29.539
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.3,9,0.75,11.887
4,80,1.5,0.1,0.026,0.33,0.225,0.0204,0.1,9,1.5,22.341
4,80,1.5,0.02,0.078,0.099,0.225,0.0204,0.1,9,1.5,21.324
2,40,0.45,0.06,0.13,0.165,0.075,0.034,0.1,15,0.75,7.214
2,40,0.45,0.1,0.078,0.099,0.225,0.0204,0.3,15,0.75,9.416
4,80,0.15,0.02,0.13,0.33,0.075,0.034,0.3,9,1.5,16.369
2,40,0.15,0.02,0.13,0.099,0.225,0.0068,0.3,9,0.75,11.615
2,24,0.15,0.02,0.078,0.033,0.075,0.034,0.3,3,0.75,7.141
2,40,0.15,0.02,0.026,0.165,0.075,0.0068,0.1,3,0.45,7.122
2,40,0.15,0.1,0.026,0.099,0.075,0.0204,0.1,15,0.75,8.653
0.4,8,0.45,0.06,0.078,0.033,0.375,0.0068,0.1,9,0.45,3.186
4,80,0.15,0.02,0.13,0.165,0.075,0.068,0.5,9,1.5,14.63
2,40,0.45,0.1,0.026,0.165,0.075,0.0204,0.3,9,0.75,2.262
2,40,0.15,0.02,0.078,0.033,0.225,0.0204,0.1,15,0.75,3.209
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.563
2,40,0.15,0.06,0.13,0.165,0.075,0.0068,0.3,9,0.75,11.319
2,40,0.45,0.02,0.078,0.033,0.075,0.0204,0.1,15,0.75,11.329
4,80,1.5,0.06,0.13,0.099,0.225,0.0204,0.1,9,1.5,24.811
2,40,0.45,0.1,0.078,0.099,0.225,0.0068,0.3,15,0.75,10.6
4,80,0.15,0.1,0.078,0.033,0.075,0.034,1,9,1.5,2.021
4,80,0.15,0.2,0.078,0.165,0.075,0.0204,1,9,1.5,2.42
4,80,1.5,0.1,0.026,0.33,0.075,0.0068,0.1,9,1.5,26.628
4,80,0.45,0.02,0.078,0.165,0.225,0.034,0.1,9,1.5,20.49
4,80,1.5,0.2,0.026,0.099,0.075,0.0204,0.3,9,1.5,15.946
4,80,1.5,0.1,0.13,0.099,0.075,0.0204,0.3,9,1.5,23.37
4,80,0.15,0.02,0.026,0.099,0.225,0.068,0.3,9,1.5,18.238
4,80,1.5,0.2,0.026,0.099,0.075,0.068,0.1,9,1.5,25.376
4,80,1.5,0.2,0.026,0.165,0.375,0.034,0.1,9,1.5,22.93
2,40,0.45,0.1,0.026,0.033,0.075,0.0204,0.1,9,0.75,16.469
4,80,0.15,0.2,0.026,0.33,0.075,0.0204,0.1,9,1.5,16.131
4,80,0.15,0.02,0.078,0.33,0.075,0.0204,0.3,9,1.5,18.493
4,80,0.15,0.06,0.078,0.033,0.225,0.0068,0.3,9,1.5,16.724
4,80,1.5,0.06,0.026,0.165,0.075,0.068,0.1,9,1.5,33.927
4,80,0.45,0.1,0.078,0.033,0.075,0.034,1,9,1.5,3.33
4,80,0.15,0.02,0.026,0.033,0.075,0.0068,0.5,9,1.5,12.024
1.2,8,0.15,0.06,0.026,0.033,0.075,0.034,0.3,3,0.75,4.967
2,40,0.15,0.02,0.026,0.165,0.075,0.034,0.1,15,0.15,7.213
2,40,0.15,0.1,0.026,0.033,0.225,0.0068,0.3,15,0.45,11.77
2,40,0.15,0.06,0.026,0.099,0.075,0.0068,0.1,9,0.45,8.262
4,80,0.15,0.06,0.078,0.033,0.225,0.068,0.3,9,1.5,17.162
1.2,40,0.15,0.02,0.078,0.165,0.225,0.034,0.5,15,0.75,9.151
4,80,1.5,0.2,0.26,0.33,0.75,0.068,0.1,30,1.5,0.354
4,80,0.75,0.02,0.026,0.165,0.075,0.0204,0.1,9,1.5,27.339
2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.1,9,0.75,11.724
2,40,0.15,0.02,0.13,0.165,0.075,0.034,0.3,9,0.75,11.845
4,80,1.5,0.02,0.026,0.099,0.225,0.0068,0.1,9,1.5,26.547
1.2,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.3,15,0.45,10.82
4,80,1.5,0.02,0.026,0.099,0.075,0.0204,0.1,9,1.5,22.955
4,80,1.5,0.06,0.026,0.033,0.375,0.0068,0.1,9,1.5,21.761
4,80,0.15,0.06,0.13,0.033,0.075,0.034,0.1,9,1.5,14.678
2,40,0.45,0.02,0.078,0.165,0.075,0.034,0.1,9,0.75,11.473
4,80,1.5,0.2,0.078,0.033,0.075,0.0068,0.3,9,1.5,17.056
4,80,0.75,0.02,0.13,0.099,0.375,0.0204,0.1,9,1.5,22.501
4,80,0.15,0.1,0.026,0.165,0.225,0.068,0.5,9,1.5,14.53
4,80,0.15,0.06,0.13,0.33,0.075,0.0068,0.1,9,1.5,14.325
2,40,0.15,0.02,0.026,0.165,0.075,0.0204,0.3,15,0.45,11.407
2,40,0.45,0.02,0.026,0.165,0.225,0.034,0.5,15,0.75,10.06
2,8,0.45,0.02,0.026,0.033,0.075,0.034,0.5,3,0.75,4.503
4,80,1.5,0.06,0.26,0.099,0.075,0.034,0.1,9,1.5,19.988
1.2,24,0.75,0.1,0.078,0.099,0.075,0.0204,0.3,15,0.15,1.83
1.2,40,0.15,0.02,0.078,0.165,0.075,0.0068,0.3,3,0.75,7.139
2,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,15,0.75,7.834
4,80,0.75,0.06,0.078,0.033,0.225,0.0068,0.1,9,1.5,22.69
1.2,40,0.15,0.1,0.026,0.165,0.075,0.034,0.1,9,0.75,9.2
2,40,0.45,0.1,0.078,0.099,0.075,0.0068,0.1,15,0.75,8.385
4,80,1.5,0.1,0.078,0.099,0.375,0.034,0.1,9,1.5,24.363
2,40,0.75,0.02,0.13,0.165,0.075,0.034,0.1,15,0.45,4.985
0.4,8,0.15,0.02,0.26,0.033,0.075,0.0068,0.1,3,0.15,5.674
2,24,0.15,0.06,0.026,0.033,0.075,0.034,0.3,3,0.75,7.582
2,8,0.75,0.1,0.026,0.033,0.225,0.0068,0.1,3,0.15,5.384
1.2,40,0.15,0.1,0.078,0.165,0.075,0.0204,0.5,3,0.75,5.782
2,40,0.15,0.06,0.078,0.099,0.075,0.0068,0.1,9,0.75,10.179
4,80,1.5,0.06,0.26,0.165,0.225,0.0204,0.1,9,1.5,19.275
2,40,0.45,0.1,0.026,0.165,0.075,0.034,0.3,15,0.75,11.188
4,80,0.15,0.06,0.26,0.033,0.075,0.068,0.1,9,1.5,13.073
0.4,24,0.45,0.02,0.026,0.033,0.225,0.0204,0.3,15,0.15,3.79
4,80,1.5,0.02,0.13,0.099,0.375,0.0204,0.1,9,1.5,22.113
4,80,0.75,0.02,0.078,0.033,0.225,0.0068,0.1,9,1.5,21.629
2,40,0.45,0.02,0.078,0.099,0.075,0.0068,0.3,15,0.75,13.114
0.4,40,0.15,0.02,0.078,0.165,0.375,0.0204,0.5,9,0.75,8.742
4,80,1.5,0.2,0.078,0.33,0.075,0.0068,0.1,9,1.5,25.193
2,40,0.45,0.1,0.078,0.033,0.075,0.034,0.1,15,0.75,5.912
2,40,0.15,0.06,0.13,0.033,0.225,0.034,0.5,15,0.75,7.828
4,80,0.45,0.06,0.026,0.099,0.075,0.034,0.1,9,1.5,22.3
2,40,0.15,0.02,0.026,0.099,0.075,0.034,0.3,15,0.45,12.661
2,40,0.15,0.1,0.078,0.099,0.075,0.0204,0.1,15,0.75,9.511
1.2,40,0.15,0.1,0.026,0.033,0.075,0.0204,0.1,3,0.75,9.102
1.2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.3,15,0.75,10.961
4,80,1.5,0.1,0.026,0.099,0.225,0.0204,0.1,9,1.5,23.103
2,40,0.45,0.06,0.026,0.099,0.075,0.0068,0.3,15,0.75,13.754
4,80,0.75,0.06,0.026,0.165,0.075,0.0204,0.1,9,1.5,26.758
0.4,80,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,3,0.15,5.294
2,40,0.15,0.02,0.13,0.099,0.225,0.0204,0.3,9,0.75,11.832
2,40,0.15,0.02,0.13,0.033,0.225,0.0068,0.3,9,0.75,11.424
4,80,0.75,0.02,0.078,0.165,0.075,0.068,0.1,9,1.5,25.241
2,40,0.15,0.06,0.078,0.165,0.075,0.0068,0.1,15,0.45,6.847
2,8,0.15,0.1,0.026,0.099,0.075,0.034,0.5,3,0.75,4.374
4,80,1.5,0.1,0.026,0.33,0.375,0.0204,0.1,9,1.5,19.832
1.2,8,0.15,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,5.179
0.4,8,0.15,0.1,0.026,0.033,0.375,0.0204,0.3,15,0.45,5.341
2,40,0.45,0.06,0.13,0.033,0.075,0.0068,0.1,15,0.75,9.561
4,80,0.45,0.06,0.13,0.033,0.075,0.034,0.5,9,1.5,17.868
2,40,0.45,0.1,0.13,0.165,0.075,0.034,0.1,9,0.75,11.528
4,80,0.15,0.06,0.13,0.099,0.225,0.034,0.1,9,1.5,15.523
2,40,0.15,0.06,0.078,0.099,0.225,0.034,0.5,3,0.45,4.011
4,80,1.5,0.2,0.13,0.165,0.075,0.0204,0.1,9,1.5,22.552
2,40,0.75,0.02,0.026,0.033,0.075,0.034,0.1,9,0.75,13.119
4,80,0.15,0.06,0.026,0.033,0.075,0.0068,0.1,9,1.5,15.382
4,80,0.15,0.06,0.078,0.33,0.075,0.068,0.5,9,1.5,15.416
2,40,0.45,0.02,0.13,0.165,0.075,0.034,0.3,9,0.75,10.243
2,8,0.15,0.1,0.078,0.165,0.075,0.0068,0.1,3,0.75,5.738
2,40,0.45,0.1,0.13,0.033,0.225,0.0204,0.3,15,0.75,9.51
1.2,40,0.45,0.1,0.026,0.099,0.075,0.034,0.3,3,0.75,12.551
4,80,1.5,0.2,0.26,0.33,0.375,0.068,1,30,1.5,0.467
4,80,0.75,0.02,0.026,0.165,0.225,0.0204,0.1,9,1.5,25.753
2,40,0.45,0.1,0.078,0.033,0.075,0.0068,0.1,9,0.75,15.488
2,40,0.45,0.06,0.026,0.165,0.075,0.034,0.3,15,0.75,11.068
4,80,0.15,0.02,0.13,0.033,0.075,0.034,0.3,9,1.5,16.375
2,40,0.45,0.1,0.026,0.099,0.075,0.034,0.3,15,0.75,10.483
1.2,40,0.15,0.06,0.078,0.033,0.075,0.0068,0.3,15,0.45,8.605
2,40,0.45,0.02,0.026,0.099,0.075,0.034,0.1,15,0.75,10.316
4,80,0.75,0.1,0.078,0.165,0.075,0.068,0.1,9,1.5,21.443
2,40,0.15,0.1,0.026,0.033,0.225,0.0204,0.3,15,0.75,12.17
0.4,40,0.15,0.06,0.026,0.033,0.075,0.0068,0.1,15,0.45,5.446
4,80,1.5,0.1,0.078,0.33,0.075,0.0204,0.1,9,1.5,27.312
4,80,0.45,0.2,0.026,0.099,0.075,0.068,0.5,9,1.5,16.669
2,40,0.45,0.1,0.078,0.099,0.075,0.0204,0.1,15,0.75,6.857
2,40,0.15,0.06,0.13,0.033,0.075,0.034,0.5,3,0.75,8.782
1.2,40,0.15,0.1,0.026,0.099,0.075,0.034,0.3,15,0.75,9.91
2,40,0.75,0.1,0.078,0.033,0.225,0.034,0.5,3,0.75,4.824
4,80,0.45,0.06,0.13,0.33,0.075,0.0068,0.1,9,1.5,21.271
4,80,0.45,0.1,0.078,0.165,0.075,0.0204,0.1,9,1.5,21.104
4,80,0.75,0.1,0.078,0.33,0.075,0.034,0.1,9,1.5,23.482
4,80,0.15,0.1,0.13,0.165,0.075,0.0068,0.1,9,1.5,17.274
2,40,0.45,0.02,0.078,0.099,0.075,0.0068,0.1,15,0.75,11.029
2,40,0.15,0.02,0.026,0.099,0.075,0.034,0.1,15,0.75,3.882
4,80,0.75,0.1,0.13,0.099,0.075,0.0204,0.1,9,1.5,23.076
4,80,0.75,0.02,0.078,0.165,0.375,0.0204,0.1,9,1.5,23.285
4,80,1.5,0.06,0.13,0.33,0.075,0.034,0.1,9,1.5,24.763
4,80,0.75,0.06,0.13,0.165,0.075,0.068,0.1,9,1.5,22.842
0.4,40,0.45,0.1,0.078,0.033,0.075,0.034,0.1,3,0.75,10.088
1.2,40,0.15,0.02,0.13,0.099,0.225,0.0204,0.5,15,0.75,8.214
1.2,40,0.15,0.06,0.078,0.033,0.075,0.0204,0.5,15,0.75,10.706
4,80,0.15,0.1,0.078,0.165,0.075,0.0204,0.1,9,1.5,16.264
1.2,40,0.15,0.06,0.078,0.165,0.225,0.0204,0.5,15,0.75,9.039
4,80,0.45,0.06,0.078,0.033,0.075,0.034,1,9,1.5,2.933
2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.5,15,0.75,10.897
4,80,1.5,0.1,0.026,0.099,0.075,0.034,0.1,9,1.5,32.983
4,80,0.45,0.06,0.078,0.033,0.075,0.068,0.1,9,1.5,19.553
2,40,0.15,0.02,0.026,0.033,0.225,0.0204,0.3,9,0.75,12.7
1.2,8,0.45,0.06,0.026,0.033,0.375,0.034,0.5,9,0.45,1.625
4,80,0.75,0.2,0.13,0.033,0.225,0.034,0.1,9,1.5,22.364
2,40,0.45,0.02,0.026,0.099,0.225,0.034,0.3,15,0.75,11.365
4,80,0.15,0.02,0.026,0.33,0.225,0.0204,0.3,9,1.5,16.816
4,80,0.45,0.2,0.026,0.033,0.075,0.068,1,9,1.5,2.745
4,80,0.75,0.1,0.078,0.165,0.075,0.0204,0.1,9,1.5,19.267
0.4,8,0.75,0.1,0.13,0.165,0.075,0.0204,0.5,15,0.15,0.86
4,80,0.15,0.2,0.026,0.099,0.075,0.034,0.3,9,1.5,19.438
4,80,0.45,0.06,0.078,0.33,0.075,0.068,0.3,9,1.5,21.04
1.2,24,0.15,0.02,0.026,0.033,0.075,0.034,0.1,9,0.75,6.668
4,80,0.15,0.2,0.13,0.099,0.075,0.034,0.1,9,1.5,15.064
2,40,0.15,0.02,0.026,0.099,0.075,0.034,0.1,9,0.75,10.773
4,80,0.75,0.1,0.13,0.165,0.225,0.0204,0.1,9,1.5,22.337
4,80,0.45,0.1,0.078,0.033,0.075,0.0068,0.3,9,1.5,19.348
4,80,1.5,0.1,0.13,0.033,0.225,0.068,0.1,9,1.5,20.805
0.4,24,0.75,0.1,0.026,0.033,0.075,0.034,0.1,3,0.75,7.187
2,40,0.45,0.02,0.078,0.165,0.075,0.0068,0.3,9,0.75,13.399
2,40,0.15,0.02,0.026,0.033,0.225,0.034,0.3,3,0.75,10.518
1.2,40,0.15,0.06,0.026,0.033,0.075,0.0068,0.3,15,0.75,12.57
4,80,0.15,0.1,0.13,0.165,0.075,0.068,1,9,1.5,2.494
2,40,0.45,0.06,0.026,0.165,0.075,0.0204,0.1,15,0.75,6.415
4,80,1.5,0.06,0.078,0.165,0.075,0.0204,0.1,9,1.5,29.744
4,80,0.75,0.1,0.026,0.099,0.075,0.0204,0.3,9,1.5,22.537
4,80,0.15,0.06,0.078,0.165,0.075,0.068,0.1,9,1.5,21.504
4,80,1.5,0.2,0.26,0.33,0.75,0.0068,1,30,1.5,2.159
1.2,8,0.15,0.1,0.026,0.033,0.225,0.0204,0.5,3,0.45,5.339
4,80,1.5,0.2,0.026,0.165,0.225,0.0204,0.1,9,1.5,26.728
4,80,1.5,0.2,0.26,0.033,0.75,0.068,1,30,1.5,3.075
2,40,0.15,0.02,0.026,0.033,0.075,0.0068,0.3,15,0.75,12.78
2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.5,15,0.45,10.119
4,80,1.5,0.06,0.026,0.165,0.225,0.034,0.3,9,1.5,19.396
1.2,40,0.45,0.1,0.026,0.033,0.075,0.034,0.1,15,0.75,9.638
4,80,0.15,0.06,0.078,0.099,0.225,0.068,0.3,9,1.5,16.318
2,40,0.15,0.1,0.078,0.033,0.075,0.034,0.1,9,0.75,10.293
1.2,40,0.45,0.1,0.078,0.165,0.075,0.0204,0.3,15,0.75,11.865
4,80,0.15,0.1,0.026,0.033,0.225,0.0204,0.5,9,1.5,14.396
2,40,0.45,0.02,0.13,0.165,0.225,0.0068,0.3,9,0.75,10.073
1.2,40,0.75,0.1,0.026,0.033,0.225,0.0204,0.5,15,0.45,8.109
2,40,0.45,0.06,0.13,0.033,0.075,0.034,0.1,15,0.75,5.884
1.2,8,0.45,0.02,0.026,0.033,0.375,0.0068,0.5,15,0.15,3.686
4,80,0.45,0.06,0.026,0.33,0.075,0.0068,0.5,9,1.5,17.376
4,80,1.5,0.02,0.026,0.33,0.075,0.0204,0.1,9,1.5,21.941
4,80,0.45,0.1,0.026,0.033,0.075,0.0204,0.1,9,1.5,21.444
4,80,0.15,0.06,0.026,0.33,0.075,0.034,1,9,1.5,0.801
2,40,0.15,0.06,0.026,0.099,0.075,0.0204,0.1,3,0.75,9.347
4,80,1.5,0.2,0.026,0.165,0.225,0.034,0.1,9,1.5,22.128
2,24,0.75,0.06,0.026,0.033,0.075,0.0204,0.1,15,0.75,3.126
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,15,1.5,0.581
2,40,0.45,0.1,0.026,0.033,0.225,0.034,0.3,15,0.75,12.172
2,8,0.75,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,3.417
1.2,40,0.75,0.02,0.026,0.033,0.375,0.0204,0.5,3,0.75,6.337
4,80,0.45,0.02,0.078,0.165,0.075,0.0068,0.1,9,1.5,22.771
4,80,0.15,0.1,0.026,0.099,0.075,0.0204,0.1,9,1.5,16.817
2,24,0.15,0.1,0.026,0.033,0.075,0.034,0.3,3,0.75,7.496
0.4,8,0.45,0.02,0.026,0.033,0.075,0.034,0.3,3,0.75,4.817
2,40,0.45,0.06,0.078,0.165,0.075,0.0068,0.3,15,0.75,11.061
4,80,1.5,0.2,0.078,0.165,0.075,0.0204,0.1,9,1.5,28.614
2,40,0.15,0.06,0.078,0.033,0.075,0.0204,0.5,3,0.75,9.501
4,80,1.5,0.06,0.078,0.165,0.075,0.0068,0.1,9,1.5,29.03
4,80,1.5,0.1,0.026,0.033,0.075,0.034,0.3,9,1.5,19.205
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.1,9,0.75,10.372
4,80,0.45,0.06,0.026,0.165,0.075,0.034,0.1,9,1.5,21.258
4,80,0.15,0.02,0.078,0.165,0.075,0.0068,0.5,9,1.5,13.485
0.4,24,0.45,0.06,0.026,0.033,0.075,0.034,0.1,3,0.75,5.909
4,80,0.75,0.2,0.078,0.165,0.375,0.0204,0.1,9,1.5,22.072
2,40,0.45,0.02,0.078,0.033,0.075,0.0068,0.1,15,0.75,11.127
2,40,0.15,0.02,0.13,0.165,0.225,0.034,0.3,9,0.75,14.462
4,80,0.75,0.02,0.13,0.33,0.075,0.068,0.1,9,1.5,23.179
4,80,0.15,0.02,0.026,0.33,0.075,0.034,0.1,9,1.5,20.87
4,80,1.5,0.1,0.13,0.165,0.075,0.0068,0.3,9,1.5,21.862
1.2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.3,15,0.75,12.295
0.4,40,0.15,0.06,0.026,0.033,0.075,0.034,0.1,9,0.75,7.758
2,40,0.15,0.1,0.078,0.033,0.225,0.0204,0.1,9,0.45,2.605
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
